candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m
2023/10/15 15:00,26861.8,26898,26838.7,26885.6,3157.155,84849403.55,38569,1697.027,45609440.36,-0.000493329,BTC-USDT,26861.95711,26863.06085
2023/10/15 16:00,26885.7,26918.5,26880,26916,3395.609,91338528.41,37663,1900.58,51125961.96,-0.000530629,BTC-USDT,26886.67588,26898.22698
2023/10/15 17:00,26916,27013.5,26905.5,26969.5,12938.397,348851446.8,108830,7736.645,208601779.3,-0.000481423,BTC-USDT,26915.3204,26913.38844
2023/10/15 18:00,26969.5,27050,26943,27046.1,9142.711,246966117.1,86823,5349.911,144535386.2,-0.000381056,BTC-USDT,26971.76432,26972.5847
2023/10/15 19:00,27046.1,27073,26970.4,27030.1,8042.933,217353967.4,82791,3537.086,95603433.4,-0.000504738,BTC-USDT,27051.21732,27028.7578
2023/10/15 20:00,27030.1,27456.1,27000.9,27193.9,31110.47,845608217.8,215683,19875.193,540454801.2,-0.00045247,BTC-USDT,27029.51901,27023.32269
2023/10/15 21:00,27193.9,27217.7,27074.7,27164.4,12210.156,331517708.7,125314,6040.689,164008694.1,-0.000558508,BTC-USDT,27196.68614,27199.44354
2023/10/15 22:00,27164.4,27287.6,27056,27085.7,19358.98,526259728.4,181982,8711.742,236875126.6,-0.000608807,BTC-USDT,27177.11014,27192.84463
2023/10/15 23:00,27085.6,27141.4,27018.8,27139.8,12212.375,330512213,115026,5499.619,148867584.1,-0.000528464,BTC-USDT,27078.08599,27067.89165
2023/10/16 00:00,27139.8,27179.9,27095.4,27129,7959.901,216009803.8,82732,3657.976,99276519.09,-0.000474543,BTC-USDT,27128.912,27137.44746
2023/10/16 01:00,27129,27265,27127.7,27181.2,10245.907,278747790.3,107202,5080.401,138214282.7,-0.000505976,BTC-USDT,27135.2654,27142.97373
2023/10/16 02:00,27181.2,27274.8,27161.9,27176.1,6686.098,181957311.9,76749,3346.999,91095688.28,-0.000558635,BTC-USDT,27178.70008,27170.37715
2023/10/16 03:00,27176,27224.2,27142.8,27221.4,5441.588,147937082.4,56763,2684.206,72980767.38,-0.000533119,BTC-USDT,27181.1493,27166.71033
2023/10/16 04:00,27221.4,27263.7,27176.5,27238.4,5085.024,138415309.8,55246,2282.651,62145586.49,-0.000468971,BTC-USDT,27225.43521,27228.82604
2023/10/16 05:00,27238.5,28168.6,27234.8,27903.4,94544.322,2623279447,660137,53055.944,1471405212,-0.000467108,BTC-USDT,27239.13504,27254.27693
2023/10/16 06:00,27903.4,27968,27772.4,27800,24453.177,681496132.9,229645,11363.248,316722890.5,-0.000453391,BTC-USDT,27926.06639,27936.11027
2023/10/16 07:00,27799.9,27914.2,27794.2,27837.2,11336.339,315756762.2,119762,6032.491,168029754.5,-0.000425867,BTC-USDT,27805.43732,27816.72757
2023/10/16 08:00,27837.2,27890.2,27792.7,27792.8,11488.175,319762083.3,104896,5082.846,141499561.5,-0.000612733,BTC-USDT,27845.73075,27868.27655
2023/10/16 09:00,27792.7,27797.9,27627.4,27757.1,24932.866,690712461.1,212830,11602.228,321407673.5,-0.000395058,BTC-USDT,27795.63586,27785.9156
2023/10/16 10:00,27757.2,27775.5,27682.7,27752.6,8704.049,241406187.1,92102,4265.552,118317088.4,-0.000627655,BTC-USDT,27754.5214,27744.95208
2023/10/16 11:00,27752.6,27759.1,27660.3,27737,6544.031,181351934.2,87704,3142.304,87080405.77,-0.000454061,BTC-USDT,27753.02446,27746.47677
2023/10/16 12:00,27737,27880.4,27695,27873.3,15382.845,427589977.8,154558,8721.446,242459205.8,-0.00052675,BTC-USDT,27734.79664,27721.04785
2023/10/16 13:00,27873.3,30720,27698.5,27986.5,355275.447,10196999996,2304598,183487.62,5267033317,-0.000482143,BTC-USDT,27870.76086,27864.45241
2023/10/16 14:00,27986.5,28382,27875,28181.4,70375.136,1978251394,705785,37997.848,1068029126,-0.000440877,BTC-USDT,28006.35949,28020.20309
2023/10/16 15:00,28181.3,28200,28021.4,28054,19397.289,544999957.6,227711,9308.63,261554454.3,-0.000362028,BTC-USDT,28190.39099,28179.36147
